,fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
13,48027,US,TX,Bell County,county,,iso1:us#iso2:us-tx#fips:48027,,362924,0.0445,other,7.557662603898178,,0.961135751952,0.29466233165800004,0.17135619734660493,,0.85,1,1,1,4,1,0,2,21629,410,,,,1191.0,45.0,4,0.64,10.0,8.0,3,0.54,0,,55970,36231,2021-04-05,https://covidactnow.org/us/texas-tx/county/bell_county,0.15421961622819105,0.09983081857358564,0,88399
14,48029,US,TX,Bexar county,county,,iso1:us#iso2:us-tx#fips:48029,,2003554,0.0275,other,18.43866306715823,,1.06461805885,0.10000000000000007,0.3249009850181482,,0.7223701731025299,2,0,2,4,1,0,1,202136,3350,,,,10395.0,3588.0,186,0.65,751.0,542.0,82,0.75,249,,524748,318527,2021-04-05,https://covidactnow.org/us/texas-tx/county/bexar_county,0.2619085884383451,0.15898099077938505,1,831547
15,48031,US,TX,Blanco County,county,,iso1:us#iso2:us-tx#fips:48031,,11931,0.0832,other,3.592083048960092,,1.01438148547,1.2195004909600002,,,,1,1,1,4,1,4,4,703,19,,,,,,1,,,,0,,0,,4094,2051,2021-04-05,https://covidactnow.org/us/texas-tx/county/blanco_county,0.3431397200569944,0.1719051211130668,0,5988
16,48033,US,TX,Borden County,county,,iso1:us#iso2:us-tx#fips:48033,,654,,other,0.0,,,,,,,0,4,0,4,4,4,4,31,2,,,,,,0,,,,0,,0,,147,103,2021-04-05,https://covidactnow.org/us/texas-tx/county/borden_county,0.22477064220183485,0.15749235474006115,0,242
17,48035,US,TX,Bosque county,county,,iso1:us#iso2:us-tx#fips:48035,,18685,0.016,other,3.822776100003823,,0.8843123655239999,0.996688845006,0.0,,,1,0,1,4,0,0,4,1637,33,,,,25.0,13.0,2,0.33,1.0,,0,,0,,4990,2582,2021-04-05,https://covidactnow.org/us/texas-tx/county/bosque_county,0.26705913834626704,0.13818571046293818,0,7282
18,48037,US,TX,Bowie County,county,,iso1:us#iso2:us-tx#fips:48037,,93245,0.0724,other,7.353898715365817,,0.822551335168,0.620621815702,0.023743569529085875,,0.7243107771929824,1,1,1,4,0,0,1,6848,207,,,,883.0,38.0,8,0.51,4.0,41.0,1,0.26,0,,14507,9666,2021-04-05,https://covidactnow.org/us/texas-tx/county/bowie_county,0.15557938763472573,0.10366239476647543,0,22832
19,48039,US,TX,Brazoria County,county,,iso1:us#iso2:us-tx#fips:48039,,374264,0.0871,other,15.916953960687795,,0.894059713821,0.177620230669,0.6149692534700699,,0.96,2,1,2,4,0,2,3,35737,454,,,,355.0,99.0,22,0.43,12.0,12.0,5,0.62,132,,98135,62048,2021-04-05,https://covidactnow.org/us/texas-tx/county/brazoria_county,0.2622079601564671,0.16578671739734518,0,155736
20,48041,US,TX,Brazos county,county,,iso1:us#iso2:us-tx#fips:48041,,229211,0.061,other,22.93582270110447,,0.929916157342,0.17892068493799984,0.2804161011509616,,0.95,2,1,2,4,1,0,3,25233,238,,,,674.0,219.0,24,0.64,30.0,28.0,8,0.55,44,,59724,31171,2021-04-05,https://covidactnow.org/us/texas-tx/county/brazos_county,0.26056341100558,0.1359926007041547,1,88009
21,48043,US,TX,Brewster County,county,,iso1:us#iso2:us-tx#fips:48043,,9203,0.0714,other,6.209155399636764,,1.0173435027600002,0.9674910436499996,,,,1,1,1,4,1,4,4,914,13,,,,25.0,11.0,1,0.35,2.0,0.0,0,0.11,2,,3921,2945,2021-04-05,https://covidactnow.org/us/texas-tx/county/brewster_county,0.4260567206345757,0.3200043464087797,0,6659
22,48045,US,TX,Briscoe County,county,,iso1:us#iso2:us-tx#fips:48045,,1546,,other,0.0,,,,,,,0,4,0,4,4,4,4,139,5,,,,,,0,,,,0,,0,,496,429,2021-04-05,https://covidactnow.org/us/texas-tx/county/briscoe_county,0.3208279430789133,0.277490297542044,0,891
23,48047,US,TX,Brooks county,county,,iso1:us#iso2:us-tx#fips:48047,,7093,0.005,other,8.056232502870031,,0.7164577111689999,1.2690648317609998,,,,1,0,1,4,0,4,4,778,36,,,,,,1,,,,0,,0,,2603,1962,2021-04-05,https://covidactnow.org/us/texas-tx/county/brooks_county,0.3669815310869872,0.2766107429860426,0,4549
24,48049,US,TX,Brown County,county,,iso1:us#iso2:us-tx#fips:48049,,37864,0.0694,other,0.0,,0.5624224077910001,0.997282007809,0.23521505368756504,,0.6612903226899063,0,1,0,4,0,0,0,4217,135,,,,188.0,32.0,2,0.39,8.0,5.0,2,0.25,0,,7729,5921,2021-04-05,https://covidactnow.org/us/texas-tx/county/brown_county,0.20412529051341646,0.15637544897527994,0,11464
25,48051,US,TX,Burleson County,county,,iso1:us#iso2:us-tx#fips:48051,,18443,0.1152,other,17.815508787693354,,0.798189821533,0.8103005399069999,0.8454106280193237,,,2,2,2,4,0,3,4,2322,40,,,,25.0,9.0,0,0.36,2.0,0.0,1,,0,,4755,3070,2021-04-05,https://covidactnow.org/us/texas-tx/county/burleson_county,0.2578213956514667,0.1664588190641436,0,7467
26,48053,US,TX,Burnet County,county,,iso1:us#iso2:us-tx#fips:48053,,48155,0.0472,other,10.086476704688726,,0.631102271462,0.661877074578,0.11595547305194805,,0.640000000056,2,1,2,4,0,0,0,4491,62,,,,71.0,37.0,4,0.41,7.0,4.0,0,0.44,0,,11714,7369,2021-04-05,https://covidactnow.org/us/texas-tx/county/burnet_county,0.2432561520091372,0.1530266846641055,0,18156
27,48055,US,TX,Caldwell county,county,,iso1:us#iso2:us-tx#fips:48055,,43664,0.0697,other,15.049992147830185,,0.7957813818,0.6290235594999999,,,,2,1,2,4,0,4,4,5397,93,,,,66.0,42.0,2,0.64,10.0,9.0,4,,0,,8935,5327,2021-04-05,https://covidactnow.org/us/texas-tx/county/caldwell_county,0.2046308171491389,0.12199981678270427,0,13459
28,48057,US,TX,Calhoun County,county,,iso1:us#iso2:us-tx#fips:48057,,21290,0.226,other,24.82721599677917,,0.910888417074,0.7247141474460004,0.1885902871287129,,0.19047619,3,3,2,4,1,0,0,1988,23,,,,25.0,11.0,1,0.4,6.0,1.0,1,0.2,0,,5498,3123,2021-04-05,https://covidactnow.org/us/texas-tx/county/calhoun_county,0.25824330671676843,0.14668858619069985,0,7943
29,48059,US,TX,Callahan County,county,,iso1:us#iso2:us-tx#fips:48059,,13943,0.2778,other,8.196637329535557,,1.2261138272799998,1.1216633660700004,,,,3,3,1,4,2,4,4,1170,38,,,,,,1,,,,0,,0,,2844,1922,2021-04-05,https://covidactnow.org/us/texas-tx/county/callahan_county,0.2039733199454924,0.13784694828946426,0,4625
30,48061,US,TX,Cameron County,county,,iso1:us#iso2:us-tx#fips:48061,,423163,0.0783,other,10.904274982183496,,0.989264710323,0.2607260825569998,0.2252886510842017,,0.7831325301204819,2,1,2,4,1,0,1,38680,1581,,,,1418.0,631.0,50,0.58,124.0,97.0,11,0.68,0,,133562,80850,2021-04-05,https://covidactnow.org/us/texas-tx/county/cameron_county,0.31562778409265463,0.1910611277451006,0,208461
31,48063,US,TX,Camp County,county,,iso1:us#iso2:us-tx#fips:48063,,13094,0.0357,other,3.273036723472037,,1.12034053566,1.0669823530899998,0.0,,,2,1,1,4,2,0,4,1206,42,,,,25.0,5.0,1,0.32,4.0,,0,,0,,2525,1400,2021-04-05,https://covidactnow.org/us/texas-tx/county/camp_county,0.1928364136245609,0.10691919963341988,0,3824
32,48065,US,TX,Carson County,county,,iso1:us#iso2:us-tx#fips:48065,,5926,0.0714,other,0.0,,,,,,,0,1,0,4,4,4,4,432,14,,,,,,0,,,,0,,0,,1280,911,2021-04-05,https://covidactnow.org/us/texas-tx/county/carson_county,0.2159973000337496,0.1537293283833952,0,2161
33,48067,US,TX,Cass County,county,,iso1:us#iso2:us-tx#fips:48067,,30026,0.0865,other,5.233559486540236,,0.967550309739,0.807362752801,inf,,,1,1,1,4,1,4,4,1855,79,,,,43.0,,2,,0.0,,1,,0,,4420,2703,2021-04-05,https://covidactnow.org/us/texas-tx/county/cass_county,0.14720575501232264,0.09002198094984347,0,6689
34,48069,US,TX,Castro county,county,,iso1:us#iso2:us-tx#fips:48069,,7530,0.041,other,13.280212483399731,,1.11522957278,0.96815450009,,,,2,1,2,4,2,4,4,929,32,,,,17.0,2.0,1,0.16,0.0,,0,,0,,1909,1267,2021-04-05,https://covidactnow.org/us/texas-tx/county/castro_county,0.2535192563081009,0.16826029216467464,0,3060
